run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR3668534	SAMEA6234639	ERX3660027	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/004/ERR3668534/ERR3668534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/004/ERR3668534/ERR3668534_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668534/A014_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668534/A014_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/004/ERR3668534	
ERR3668535	SAMEA6234649	ERX3660028	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/005/ERR3668535/ERR3668535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/005/ERR3668535/ERR3668535_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668535/A018_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668535/A018_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/005/ERR3668535	
ERR3668540	SAMEA6234654	ERX3660033	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/000/ERR3668540/ERR3668540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/000/ERR3668540/ERR3668540_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668540/A056_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668540/A056_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/000/ERR3668540	
ERR3668541	SAMEA6234655	ERX3660034	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/001/ERR3668541/ERR3668541_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/001/ERR3668541/ERR3668541_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668541/A059_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668541/A059_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/001/ERR3668541	
ERR3668543	SAMEA6234657	ERX3660036	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/003/ERR3668543/ERR3668543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/003/ERR3668543/ERR3668543_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668543/A070_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668543/A070_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/003/ERR3668543	
ERR3668544	SAMEA6234658	ERX3660037	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/004/ERR3668544/ERR3668544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/004/ERR3668544/ERR3668544_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668544/A072_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668544/A072_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/004/ERR3668544	
ERR3668545	SAMEA6234659	ERX3660038	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/005/ERR3668545/ERR3668545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/005/ERR3668545/ERR3668545_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668545/A080_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668545/A080_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/005/ERR3668545	
ERR3668547	SAMEA6234661	ERX3660040	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/007/ERR3668547/ERR3668547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/007/ERR3668547/ERR3668547_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668547/A089_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668547/A089_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/007/ERR3668547	
ERR3668548	SAMEA6234662	ERX3660041	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/008/ERR3668548/ERR3668548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/008/ERR3668548/ERR3668548_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668548/A093_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668548/A093_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/008/ERR3668548	
ERR3668552	SAMEA6234666	ERX3660045	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/002/ERR3668552/ERR3668552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/002/ERR3668552/ERR3668552_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668552/A140_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668552/A140_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/002/ERR3668552	
